player_name,zone_1_attempted,zone_1_made,zone_2_attempted,zone_2_made,zone_3_attempted,zone_3_made,zone_4_attempted,zone_4_made,zone_5_attempted,zone_5_made,zone_6_attempted,zone_6_made,zone_7_attempted,zone_7_made,zone_8_attempted,zone_8_made,zone_9_attempted,zone_9_made,zone_10_attempted,zone_10_made,zone_11_attempted,zone_11_made,zone_12_attempted,zone_12_made,zone_13_attempted,zone_13_made,zone_14_attempted,zone_14_made,zone_15_attempted,zone_15_made
Aaron Gordon,0.3661567877629063,0.6344647519582245,0.11950286806883365,0.344,0.006692160611854685,0.42857142857142855,0.007648183556405354,0.25,0.044933078393881457,0.2978723404255319,0.02772466539196941,0.3793103448275862,0.033460803059273424,0.2857142857142857,0.022944550669216062,0.5,0.03919694072657744,0.2682926829268293,0.0497131931166348,0.3269230769230769,0.03824091778202677,0.475,0.10611854684512427,0.36936936936936937,0.06787762906309751,0.323943661971831,0.06596558317399617,0.3043478260869565,0.003824091778202677,0.0
Al Horford,0.28492392807745504,0.7184466019417476,0.17289073305670816,0.504,0.011065006915629323,0.5,0.013831258644536652,0.6,0.040110650069156296,0.5862068965517241,0.06500691562932227,0.5531914893617021,0.0318118948824343,0.6086956521739131,0.03042876901798064,0.5454545454545454,0.0677731673582296,0.4897959183673469,0.012448132780082987,0.4444444444444444,0.016597510373443983,0.16666666666666666,0.0677731673582296,0.30612244897959184,0.07053941908713693,0.4509803921568628,0.11341632088520055,0.35365853658536583,0.0013831258644536654,0.0
Al-Farouq Aminu,0.3743676222596965,0.6036036036036037,0.08768971332209106,0.36538461538461536,0.006745362563237775,0.25,0.0016863406408094436,0.0,0.008431703204047217,0.0,0.016863406408094434,0.3,0.0050590219224283285,0.0,0.016863406408094434,0.3,0.011804384485666104,0.14285714285714285,0.0775716694772344,0.32608695652173914,0.08094435075885327,0.3541666666666667,0.12984822934232715,0.3636363636363637,0.1467116357504216,0.3103448275862069,0.03541315345699832,0.42857142857142855,0.0,0.0
Alec Burks,0.33122362869198313,0.5668789808917197,0.13291139240506328,0.2698412698412698,0.004219409282700422,0.5,0.02531645569620253,0.16666666666666666,0.04852320675105485,0.2608695652173913,0.04008438818565401,0.4736842105263158,0.014767932489451475,0.2857142857142857,0.02320675105485232,0.2727272727272727,0.02531645569620253,0.16666666666666666,0.05063291139240506,0.3333333333333333,0.02109704641350211,0.4,0.12447257383966245,0.4576271186440678,0.08438818565400844,0.25,0.06962025316455696,0.3636363636363637,0.004219409282700422,0.0
Alex Len,0.5324074074074074,0.6202898550724638,0.10030864197530864,0.3384615384615385,0.00308641975308642,0.0,0.0015432098765432098,1.0,0.015432098765432096,0.3,0.013888888888888888,0.4444444444444444,0.00308641975308642,0.0,0.0046296296296296285,0.0,0.010802469135802469,0.2857142857142857,0.061728395061728385,0.35,0.09876543209876544,0.375,0.040123456790123455,0.38461538461538464,0.040123456790123455,0.5,0.07253086419753088,0.2765957446808511,0.0015432098765432098,0.0
Allen Crabbe,0.09651474530831099,0.5555555555555556,0.06166219839142091,0.2608695652173913,0.00804289544235925,0.3333333333333333,0.0,0.0,0.03485254691689008,0.3076923076923077,0.02949061662198392,0.18181818181818185,0.024128686327077747,0.1111111111111111,0.013404825737265416,0.4,0.04021447721179625,0.26666666666666666,0.0777479892761394,0.5172413793103449,0.08579088471849866,0.46875,0.1554959785522788,0.4137931034482759,0.1903485254691689,0.3380281690140845,0.1769436997319035,0.2878787878787879,0.0053619302949061655,0.0
Allonzo Trier,0.4092664092664093,0.5566037735849056,0.08687258687258688,0.3333333333333333,0.003861003861003861,0.0,0.003861003861003861,0.0,0.02509652509652509,0.3076923076923077,0.028957528957528962,0.4666666666666667,0.03667953667953668,0.2631578947368421,0.04826254826254826,0.48,0.10231660231660232,0.3584905660377358,0.02123552123552124,0.2727272727272727,0.02123552123552124,0.4545454545454545,0.07335907335907338,0.42105263157894735,0.0637065637065637,0.3636363636363637,0.07528957528957529,0.41025641025641024,0.0,0.0
Andre Drummond,0.7081749049429658,0.6161073825503356,0.20722433460076045,0.3761467889908257,0.004752851711026616,0.4,0.008555133079847909,0.4444444444444444,0.0123574144486692,0.3076923076923077,0.016159695817490494,0.2352941176470588,0.0028517110266159697,0.0,0.0009505703422053232,0.0,0.0028517110266159697,0.3333333333333333,0.0038022813688212928,0.25,0.0028517110266159697,0.0,0.006653992395437262,0.14285714285714285,0.005703422053231939,0.3333333333333333,0.010456273764258554,0.09090909090909093,0.006653992395437262,0.0
Andre Iguodala,0.3576158940397351,0.8333333333333334,0.049668874172185434,0.26666666666666666,0.006622516556291391,0.5,0.0,0.0,0.023178807947019868,0.0,0.03311258278145696,0.2,0.019867549668874173,0.5,0.026490066225165563,0.25,0.006622516556291391,0.5,0.10264900662251657,0.3548387096774194,0.09933774834437084,0.4666666666666667,0.10596026490066224,0.1875,0.10927152317880796,0.3333333333333333,0.05629139072847682,0.35294117647058826,0.0033112582781456954,0.0
Andrew Wiggins,0.2977667493796526,0.5833333333333334,0.13316790736145576,0.3167701863354037,0.008271298593879239,0.3,0.010752688172043013,0.4615384615384616,0.07113316790736146,0.4302325581395349,0.04797353184449959,0.4310344827586207,0.04962779156327544,0.2333333333333333,0.04714640198511166,0.2631578947368421,0.04880066170388751,0.3389830508474576,0.03225806451612903,0.5897435897435898,0.018196856906534328,0.2727272727272727,0.11248966087675766,0.3235294117647059,0.06120760959470638,0.25675675675675674,0.0587262200165426,0.35211267605633795,0.0024813895781637717,0.0
Ante Zizic,0.622356495468278,0.6553398058252428,0.2447129909365559,0.3703703703703704,0.00906344410876133,0.6666666666666666,0.02114803625377644,0.2857142857142857,0.024169184290030208,0.25,0.03625377643504532,0.5,0.006042296072507553,0.0,0.00906344410876133,0.6666666666666666,0.027190332326283987,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,0.4181286549707601,0.7156177156177156,0.18323586744639367,0.40425531914893614,0.017543859649122806,0.5,0.011695906432748536,0.5833333333333334,0.07894736842105263,0.3333333333333333,0.036062378167641324,0.3783783783783784,0.04775828460038986,0.3469387755102041,0.025341130604288498,0.3076923076923077,0.03996101364522417,0.4146341463414634,0.005847953216374269,0.8333333333333334,0.004873294346978557,0.2,0.03898635477582847,0.325,0.038011695906432746,0.2307692307692308,0.05263157894736842,0.3703703703703704,0.0009746588693957113,0.0
Antonio Blakeney,0.16666666666666666,0.6212121212121212,0.26262626262626265,0.40384615384615385,0.020202020202020204,0.5,0.012626262626262626,0.6,0.06313131313131314,0.4,0.04040404040404042,0.1875,0.03535353535353535,0.42857142857142855,0.04292929292929293,0.29411764705882354,0.12878787878787878,0.3333333333333333,0.07828282828282829,0.5161290322580645,0.020202020202020204,0.5,0.030303030303030307,0.16666666666666666,0.03535353535353535,0.42857142857142855,0.060606060606060615,0.2916666666666667,0.002525252525252525,0.0
Austin Rivers,0.2604895104895105,0.5973154362416108,0.13986013986013987,0.3875,0.0017482517482517485,1.0,0.006993006993006993,0.75,0.0034965034965034965,0.0,0.012237762237762238,0.2857142857142857,0.0,0.0,0.0017482517482517485,1.0,0.0017482517482517485,1.0,0.07342657342657342,0.2380952380952381,0.05594405594405594,0.40625,0.2202797202797203,0.2777777777777778,0.16083916083916086,0.3478260869565217,0.0576923076923077,0.42424242424242425,0.0034965034965034965,0.0
Avery Bradley,0.17598684210526316,0.4672897196261682,0.10361842105263158,0.3809523809523809,0.001644736842105263,0.0,0.003289473684210526,0.5,0.047697368421052634,0.5172413793103449,0.02960526315789473,0.2777777777777778,0.09210526315789473,0.42857142857142855,0.047697368421052634,0.3793103448275862,0.0986842105263158,0.5333333333333333,0.10526315789473684,0.375,0.046052631578947366,0.3928571428571429,0.14144736842105265,0.37209302325581395,0.06414473684210527,0.3076923076923077,0.03782894736842105,0.3043478260869565,0.004934210526315789,0.0
