team_id,team_name,season,zone_1_perc_att,zone_2_perc_att,zone_3_perc_att,zone_4_perc_att,zone_5_perc_att,zone_6_perc_att,zone_7_perc_att,zone_8_perc_att,zone_9_perc_att,zone_10_perc_att,zone_11_perc_att,zone_12_perc_att,zone_13_perc_att,zone_14_perc_att,zone_15_perc_att
1610612737,Atlanta Hawks,2000-01,0.2727954409118176,0.15851829634073186,0.015446910617876425,0.01169766046790642,0.14202159568086384,0.14082183563287345,0.04454109178164367,0.03629274145170966,0.037492501499700064,0.01274745050989802,0.020995800839832032,0.04454109178164367,0.04019196160767846,0.019496100779844032,0.002399520095980804
1610612737,Atlanta Hawks,2018-19,0.3646996278575226,0.1291866028708134,0.007044125465178097,0.011695906432748536,0.0158160552897395,0.02086656034024455,0.01036682615629984,0.01594896331738437,0.0215311004784689,0.0487772461456672,0.05861244019138756,0.09237107921318448,0.0998139287612972,0.10047846889952153,0.0027910685805422647
1610612738,Boston Celtics,2000-01,0.3327679259830378,0.11087124132613724,0.007710100231303006,0.009252120277563608,0.0932922127987664,0.07740940632228219,0.04209714726291442,0.04117193523515806,0.03361603700848111,0.02868157286044718,0.03885890516576716,0.08342328450269854,0.06954510408635313,0.02868157286044718,0.0026214340786430233
1610612738,Boston Celtics,2018-19,0.2868112622928735,0.12272666037990032,0.010642597332614846,0.013336925771251515,0.038394180250572535,0.05065337464636939,0.026134985854775698,0.03206250841977637,0.038394180250572535,0.03960662804795904,0.041492657955004716,0.1073689882796713,0.11639498854910416,0.07503704701603127,0.0009430149535228344
1610612739,Cleveland Cavaliers,2000-01,0.3179730557256583,0.1595223515003062,0.009185548071034905,0.011635027556644213,0.14972443355786896,0.13135333741579913,0.04378444580526638,0.040263319044703004,0.03582363747703613,0.0209736680955297,0.014696876913655847,0.02510716472749541,0.023576240048989592,0.012400489895897121,0.003980404164115126
1610612739,Cleveland Cavaliers,2018-19,0.30818485523385303,0.15381403118040088,0.010161469933184857,0.017399777282850783,0.04106347438752784,0.045517817371937636,0.02296770601336303,0.03187639198218263,0.03688752783964365,0.041202672605790636,0.03173719376391982,0.09131403118040088,0.09785634743875278,0.06834632516703787,0.0016703786191536749
1610612740,New Orleans Pelicans,2018-19,0.36004231125214864,0.16924500859447308,0.011106703689012296,0.010181145048261273,0.0358323416633611,0.031601216448499274,0.019304508792807092,0.01692450085944731,0.023006743355811186,0.0362290096522544,0.03398122438185905,0.10101811450482613,0.08515139494909428,0.0646568821896073,0.0017188946185376173
1610612741,Chicago Bulls,2000-01,0.28466697863047885,0.1338324754328498,0.011854624863515831,0.012634534394010294,0.14537513648416786,0.12072999532054282,0.04757448136016222,0.0520979566370301,0.043362969895492126,0.010294805802526908,0.010138823896428015,0.04648260801746997,0.05303384807362346,0.025892996412416158,0.0020277647792856027
1610612741,Chicago Bulls,2018-19,0.3473976405274115,0.17432338653712698,0.008049965301873699,0.011103400416377515,0.03608605135322693,0.032199861207494795,0.024705065926439968,0.023039555863983343,0.04913254684247051,0.0395558639833449,0.02789729354614851,0.07702984038861901,0.07786259541984733,0.06967383761276891,0.0019430950728660653
1610612742,Dallas Mavericks,2000-01,0.27069684335914235,0.14889815366289458,0.014294222751637881,0.013251935675997618,0.12418106015485407,0.09886837403216198,0.040500297796307316,0.045711733174508634,0.041542584871947584,0.015634306134603933,0.03335318642048839,0.052858844550327584,0.06625967837998809,0.031417510422870755,0.0025312686122692077
1610612742,Dallas Mavericks,2018-19,0.3037068239258635,0.13310867733782644,0.008845829823083403,0.009407469811850604,0.029626509407469814,0.03341757933164841,0.01614714967705701,0.01797247964055041,0.026677899466442008,0.041280539174389216,0.044509969109800616,0.12327997753440045,0.11611906767761865,0.09196854816062904,0.003931479921370404
1610612743,Denver Nuggets,2000-01,0.30522029954922203,0.107895884833503,0.011342155009451795,0.011487567253162715,0.15457321506470845,0.1109495419514323,0.02588337938054384,0.0369347099025738,0.02573796713683292,0.031554456885269734,0.032717754834957105,0.05380253017304057,0.06572633415733604,0.025447142649411083,0.0007270612185546024
1610612743,Denver Nuggets,2018-19,0.32191224268689056,0.17659804983748645,0.010969664138678224,0.01056338028169014,0.03819068255687974,0.03060671722643554,0.018011917659804984,0.018689057421451792,0.0276273022751896,0.0390032502708559,0.03128385698808234,0.10211267605633803,0.08626760563380281,0.08572589382448538,0.002437703141928494
1610612744,Golden State Warriors,2000-01,0.2754006968641115,0.16975609756097562,0.010313588850174216,0.011986062717770037,0.1289198606271777,0.11094076655052264,0.05923344947735192,0.06118466898954704,0.03818815331010453,0.016445993031358887,0.011289198606271778,0.03958188153310105,0.03693379790940767,0.027874564459930317,0.001951219512195122
1610612744,Golden State Warriors,2018-19,0.27686455644613506,0.1077299279989132,0.007335959788072274,0.006656704252139655,0.0449667164787393,0.058687678304578175,0.02554000815106643,0.05121586740931939,0.0374949055834805,0.0426572476565684,0.036543947833174835,0.1130281211791876,0.12253769868224425,0.06615948919983697,0.002581171036543948
1610612745,Houston Rockets,2000-01,0.3193717277486911,0.11610717585463505,0.009701262704034493,0.011857098860486606,0.10117031105635972,0.08099784416384355,0.05097012627040345,0.05127810286418232,0.041422851863258385,0.03264551894056052,0.023406221127194333,0.07083461656914075,0.05605174006775485,0.03095164767477672,0.0032337542346781646
1610612745,Houston Rockets,2018-19,0.3023872679045093,0.11447717436828145,0.003490157755130532,0.005584252408208851,0.012424961608264694,0.01759039508585788,0.0054446460980036296,0.006701102889850622,0.0131229931592908,0.053608823118804966,0.07692307692307693,0.13653497138070642,0.16292056400949326,0.08739355018846852,0.0013960631020522127
